Unnamed: 0;question;answer;tag
0.0;What is Amazon SageMaker?;Amazon SageMaker is a fully managed service to prepare data and build, train, and deploy machine learning (ML) models for any use case with fully managed infrastructure, tools, and workflows.;General
1.0;What exactly does Amazon SageMaker refer to?;Amazon SageMaker is a service that is entirely managed, which allows you to get your data ready and develop and deploy machine learning models for any usage scenario, with all infrastructure, tools, and workflows managed for you.;General
2.0;In which Regions is Amazon SageMaker available?;For a list of the supported Amazon SageMaker AWS Regions, please visit the AWS Regional Services page. Also, for more information, see Regional endpoints in the AWS general reference guide.;General
3.0;In what areas is Amazon SageMaker accessible?;To obtain a roster of the Amazon SageMaker AWS Regions that are validated, it is recommended to check out the AWS Regional Services website. Additionally, to find out more, please refer to the Regional endpoints in the AWS general reference guide.;General
4.0;What is the service availability of Amazon SageMaker?;Amazon SageMaker is designed for high availability. There are no maintenance windows or scheduled downtimes. SageMaker APIs run in Amazon’s proven, high-availability data centers, with service stack replication configured across three facilities in each AWS Region to provide fault tolerance in the event of a server failure or Availability Zone outage.;General
5.0;What is the level of service that Amazon SageMaker provides?;Amazon SageMaker has been created to ensure uninterrupted access, and users can access SageMaker APIs at any time since there are no scheduled downtimes or maintenance windows. The APIs operate in Amazon's reliable, high-availability data centers, which are built with service stack replication that's distributed across three facilities in each AWS Region. This system provides fault tolerance in case a server fails or there's an Availability Zone outage.;General
6.0;How does Amazon SageMaker secure my code?;Amazon SageMaker stores code in ML storage volumes, secured by security groups and optionally encrypted at rest.;General
7.0;In what way does Amazon SageMaker protect my coding?;Amazon SageMaker keeps its code in ML storage volumes, which are protected by security groups and may be encrypted while at rest.;General
8.0;What security measures does Amazon SageMaker have?;Amazon SageMaker ensures that ML model artifacts and other system artifacts are encrypted in transit and at rest. Requests to the SageMaker API and console are made over a secure (SSL) connection. You pass AWS Identity and Access Management roles to SageMaker to provide permissions to access resources on your behalf for training and deployment. You can use encrypted Amazon Simple Storage Service (Amazon S3) buckets for model artifacts and data, as well as pass an AWS Key Management Service (KMS) key to SageMaker notebooks, training jobs, and endpoints, to encrypt the attached ML storage volume. Amazon SageMaker also supports Amazon Virtual Private Cloud (VPC) and AWS PrivateLink support.;General
9.0;Which security protocols does Amazon SageMaker possess?;Amazon SageMaker guarantees the security of ML model and system artifacts by encrypting them during transit and at rest. SageMaker API and console requests are made over a secure (SSL) connection. You can grant permissions to access resources to SageMaker by passing AWS Identity and Access Management roles, for training and deployment. To secure the attached ML storage volume, you have the option to use encrypted Amazon S3 buckets for model artifacts and data, and pass an AWS KMS key to SageMaker training jobs, notebooks and endpoints. Additionally, Amazon SageMaker allows for Amazon VPC and AWS PrivateLink support.;General
